0.028.3311.3;0.028.3311.3-30
7.258.484.137;7258484.137-10
7.258.484.150;7258484.136-10
7260630.1-20;7260630.1-10
7260630.2-20;7260630.2-10
7260630.3-20;7260630.3-10
801020784;801020784-30
801020785;801020785-30
801020786;801020786-30
84172682.1-20;84172682.1-10
84172682.2-20;84172682.2-10
84172682.3-20;84172682.3-10
84184489;84184489-10
84218204-25;84396434-10
84218205-25;84396436-10
84219056;84219056-10
84219061;84219061-10
84234957-20;84234957-10
84238093;84238093-10
84240827-20;84240827-10
84241461-20;84241461-10
84254555;84254555-10
84255343;84255343-10
84265350;84265350-10
84275300;84275300-10
84278051-20;84278051-10
84278053-20;84278053-10
84278054-20;84278054-10
84278056-20;84278056-10
84279692-10;84279692-5
84279692-5;0
84295327-27;84295327-10
84295559-20;84295559-10
84299317.1-20;84299317.1-10
84299317.2-20;84299317.2-10
84299317.3-20;84299317.3-10
84309299;84309299-10
84309825-20;84309825-10
84309827;84309827-10
84310589-20;84310589-10
84310636-20;84310636-10
84310665-20;84310665-10
84310787-20;84310787-10
84310799-20;84310799-10
84315613;84316012-10
84316012;84316012-10
84326835-20;84326835-10
84326842-20;84326842-10
84338362-20;84338362-10
84338425-20;84338425-10
84347234-20;84347234-10
84347238-20;84347238-10
84350113-20;84350113-10
84350115-20;84350115-10
84350116-20;84350116-10
84353958-25;84396436-10
84356337;84356337-20
84356337-20;84356337-10
84365318-20;84365318-15
84387746.1;84387746.1-10
84387746.2;84387746.2-10
84387746.3;84387746.3-10
84394163-10;84394163-5
84394163-5;100300700
84396354;84396354-10
84396357;84396357-10
84396434-10;84396434-5
84396434-20;84396434-5
84396434-25;84396434-10
84396434-5;100151014
84396436-10;84396436-5
84396436-25;84396436-10
84396436-5;100151014
84402505-10;84402505-7
84402505-5;100201146
84402506.1-20;84402506.1-10
84417852-20;84417852-10
84424607-20;84424607-10
84424608-20;84424608-10
84424610-20;84424610-10
84424611-20;84424611-10
84424612-20;84424612-10
84487124-20;84487124-10
84519329-20;84519329-10
84519334-20;84519334-10
84519338-20;84519338-10
84519347-20;84519347-10
84520303-20;84310665-10
84537454;84537454-10
85801686;85801686-10
85801687;85801686-10
85801688;85801688-10
85801689;85801688-10
85801691-10;100250710
87409284-10;100250710
87730668-10;87730668-5
87730668-5;0
90336464;90336464-10
90336465;90336465-10
90418639-20;90418639-10
90418639-25;90418639-20
90419780-10;0
90419780-20;90419780-10
90419783-10;0
90419783-20;90419783-10
911056336-10;100151102
99439348-20;99439348-15
99439348-40;99439348-30
AG386782-30;AG386782-10
AG386792-30;AG386792-10
AG552835-20;AG552835-10
AG554009-20;AG554009-10
H251248501-10;H251248501-5
H251248501-5;0
H251269000;H251269000-30
H251269000-20;H251269000-10
H381231100;H381231100-10
H411202800-20;H411202800-10
H906202400;H906202400-20
H906202400-10;H906202400-5
H906202400-5;100151103
H906204500;H906204500-10
H906205600;H906205600-10
H906205700;H906205700-10
H906205900;H906205900-10
H906230800;H906230800-10
H906261800-30;H906261800-10
H906263200-10;100151103
H906263200-20;H906263200-10
H906507800-10;H906507800-5
H906507800-5;100201142
H906507900-30;H906507900-10
H906531200-20;H906531200-10
H906531200-30;H906531200-20
M114206100-20;M114206100-10
YANBA5-2101;YANBA5-2101-10
YANBA5-3111;YANBA5-3111-10
